delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,duration_minutes
DL00001,O00938,D004,V056,H05,18/06/2024 10:57,19/06/2024 09:05,Delayed,17.26,1,0,3.07,12.05,1328.0
DL00002,O00004,D138,V007,H02,11/01/2025 17:39,11/01/2025 18:45,OnTime,10.34,1,0,5.0,13.41,66.0
DL00003,O00639,D006,V049,H02,02/06/2025 20:39,02/06/2025 21:45,OnTime,7.92,0,0,4.98,8.51,66.0
DL00004,O00313,D116,V055,H02,08/03/2024 23:31,09/03/2024 23:30,Delayed,16.42,0,0,4.18,13.62,1439.0
DL00005,O00844,D108,V034,H01,21/09/2025 11:43,21/09/2025 15:45,OnTime,14.52,1,0,4.18,9.22,242.0
DL00006,O00029,D037,V098,H03,11/09/2024 12:40,12/09/2024 17:11,Delayed,13.84,0,0,1.57,9.58,1711.0
DL00007,O00097,D151,V037,H07,09/01/2024 13:41,10/01/2024 23:39,Delayed,32.72,0,0,4.64,17.7,2038.0
DL00008,O00207,D082,V066,H03,22/08/2024 21:34,22/08/2024 23:22,OnTime,7.16,1,0,3.76,11.66,108.0
DL00009,O00297,D088,V029,H05,12/04/2024 21:33,13/04/2024 01:18,Delayed,40.23,1,0,3.7,15.78,225.0
DL00010,O00836,D058,V057,H08,22/09/2025 19:09,23/09/2025 01:15,Delayed,9.85,1,0,3.2,9.31,366.0
DL00011,O00202,D074,V117,H04,02/02/2024 02:29,02/02/2024 03:09,OnTime,13.85,0,0,4.36,15.17,40.0
DL00012,O01207,D051,V017,H05,26/12/2024 19:41,27/12/2024 09:26,Delayed,16.96,3,0,0.0,16.98,825.0
DL00013,O01031,D105,V085,H04,26/01/2025 08:29,26/01/2025 10:33,OnTime,6.01,2,0,3.96,11.52,124.0
DL00014,O00725,D102,V008,H05,07/05/2024 12:40,07/05/2024 20:50,OnTime,16.46,0,0,3.67,11.74,490.0
DL00015,O00394,D067,V056,H04,16/08/2024 22:47,17/08/2024 08:15,Delayed,26.58,3,0,4.47,21.64,568.0
DL00016,O01220,D010,V091,H08,12/06/2025 01:47,12/06/2025 04:51,OnTime,18.25,1,0,5.0,12.61,184.0
DL00017,O01249,D002,V008,H05,25/08/2024 18:26,26/08/2024 03:05,Delayed,20.79,0,0,1.0,15.62,519.0
DL00018,O00611,D011,V001,H01,29/07/2025 09:54,29/07/2025 10:52,OnTime,13.67,0,0,4.46,16.18,58.0
DL00019,O01167,D026,V004,H06,25/06/2024 23:58,26/06/2024 07:52,Delayed,16.35,4,0,4.97,13.97,474.0
DL00020,O00054,D157,V065,H01,29/03/2025 12:59,29/03/2025 14:40,OnTime,24.31,0,0,4.15,12.61,101.0
DL00021,O00250,D117,V081,H08,24/04/2025 14:20,25/04/2025 11:20,Delayed,9.77,4,0,4.07,6.43,1260.0
DL00022,O01027,D088,V011,H07,24/08/2025 00:21,24/08/2025 04:25,OnTime,15.81,0,0,3.5,15.62,244.0
DL00023,O00768,D046,V021,H08,12/06/2025 01:16,12/06/2025 02:37,OnTime,4.29,1,0,5.0,2.5,81.0
DL00024,O01054,D045,V029,H02,19/08/2025 14:33,19/08/2025 18:11,OnTime,8.58,0,0,4.78,14.62,218.0
DL00025,O00288,D130,V098,H04,08/09/2025 19:57,08/09/2025 22:37,OnTime,7.41,0,0,5.0,7.2,160.0
DL00026,O00906,D092,V055,H04,04/02/2025 11:16,06/02/2025 01:48,Delayed,14.27,2,0,2.23,10.04,2312.0
DL00027,O00827,D057,V054,H02,01/01/2024 03:20,02/01/2024 00:13,Delayed,13.27,0,0,4.15,9.05,1253.0
DL00028,O00087,D165,V022,H08,12/11/2024 15:52,13/11/2024 04:15,Delayed,15.53,2,0,2.7,13.05,743.0
DL00029,O00723,D126,V086,H07,15/05/2024 04:38,15/05/2024 06:49,OnTime,9.43,1,0,3.72,8.72,131.0
DL00030,O00780,D034,V068,H03,16/06/2024 18:57,16/06/2024 19:22,OnTime,7.71,1,0,4.1,16.42,25.0
DL00031,O00830,D037,V061,H01,23/07/2025 23:21,23/07/2025 23:32,OnTime,12.06,0,0,4.1,14.98,11.0
DL00032,O00010,D045,V010,H08,29/01/2025 02:58,29/01/2025 05:57,OnTime,15.58,1,0,4.23,13.75,179.0
